full_name,given_name,surname,irish_flag
Melanie Ann Stansbury,Melanie,Ann Stansbury,0
Yvette Herrell,Yvette,Herrell,0
Teresa Leger Fernandez,Teresa,Leger Fernandez,0
Lee Zeldin,Lee,Zeldin,0
Andrew Garbarino,Andrew,Garbarino,0
Tom Suozzi,Tom,Suozzi,0
Kathleen Rice,Kathleen,Rice,0
Gregory W. Meeks,Gregory,Meeks,0
Grace Meng,Grace,Meng,0
Nydia Velazquez,Nydia,Velazquez,0
Hakeem Jeffries,Hakeem,Jeffries,0
Yvette D. Clarke,Yvette,Clarke,0
Jerrold Nadler,Jerrold,Nadler,0
Nicole Malliotakis,Nicole,Malliotakis,0
Carolyn B. Maloney,Carolyn,Maloney,0
Adriano Espaillat,Adriano,Espaillat,0
Alexandria Ocasio-Cortez,Alexandria,Ocasio-Cortez,0
Ritchie Torres,Ritchie,Torres,0
Jamaal Bowman,Jamaal,Bowman,0
Mondaire Jones,Mondaire,Jones,0
Sean Maloney,Sean,Maloney,0
Antonio Delgado,Antonio,Delgado,0
Paul Tonko,Paul,Tonko,0
Elise Stefanik,Elise,Stefanik,0
Claudia Tenney,Claudia,Tenney,0
Tom Reed,Tom,Reed,0
John Katko,John,Katko,0
Joseph Morelle,Joseph,Morelle,0
Brian Higgins,Brian,Higgins,0
Christopher Jacobs,Christopher,Jacobs,0
Eleanor Holmes Norton,Eleanor,Holmes Norton,0
G.K. Butterfield,G.K.,Butterfield,0
Deborah Ross,Deborah,Ross,0
Gregory Murphy,Gregory,Murphy,0
David Price,David,Price,0
Virginia Foxx,Virginia,Foxx,0
Kathy Manning,Kathy,Manning,0
David Rouzer,David,Rouzer,0
Richard Hudson,Richard,Hudson,0
Dan Bishop,Dan,Bishop,0
Patrick T. McHenry,Patrick,McHenry,0
Madison Cawthorn,Madison,Cawthorn,0
Alma Adams,Alma,Adams,0
Ted Budd,Ted,Budd,0
Kelly Armstrong,Kelly,Armstrong,0
Gregorio Kilili Camacho Sablan,Gregorio,Kilili Camacho Sablan,0
Steve Chabot,Steve,Chabot,0
Brad Wenstrup,Brad,Wenstrup,0
Joyce Beatty,Joyce,Beatty,0
Jim Jordan,Jim,Jordan,0
Bob Latta,Bob,Latta,0
Bill Johnson,Bill,Johnson,0
Bob Gibbs,Bob,Gibbs,0
Warren Davidson,Warren,Davidson,0
Marcy Kaptur,Marcy,Kaptur,0
Michael Turner,Michael,Turner,0
Shontel Brown,Shontel,Brown,0
Troy Balderson,Troy,Balderson,0
Tim Ryan,Tim,Ryan,0
David Joyce,David,Joyce,0
Mike Carey,Mike,Carey,0
Anthony Gonzalez,Anthony,Gonzalez,0
Kevin Hern,Kevin,Hern,0
Markwayne Mullin,Markwayne,Mullin,0
Frank Lucas,Frank,Lucas,0
Tom Cole,Tom,Cole,0
Stephanie Bice,Stephanie,Bice,0
Suzanne Bonamici,Suzanne,Bonamici,0
Cliff Bentz,Cliff,Bentz,0
Earl Blumenauer,Earl,Blumenauer,0
Peter DeFazio,Peter,DeFazio,0
Kurt Schrader,Kurt,Schrader,0
Brian Fitzpatrick,Brian,Fitzpatrick,0
Brendan Boyle,Brendan,Boyle,0
Dwight Evans,Dwight,Evans,0
Madeleine Dean,Madeleine,Dean,0
Mary Gay Scanlon,Mary Gay,Scanlon,0
Chrissy Houlahan,Chrissy,Houlahan,0
Susan Wild,Susan,Wild,0
Matt Cartwright,Matt,Cartwright,0
Dan Meuser,Dan,Meuser,0
Scott Perry,Scott,Perry,0
Lloyd Smucker,Lloyd,Smucker,0
Fred Keller,Fred,Keller,0
John Joyce,John,Joyce,0
Guy Reschenthaler,Guy,Reschenthaler,0
Glenn Thompson,Glenn,Thompson,0
Mike Kelly,Mike,Kelly,0
Conor Lamb,Conor,Lamb,0
Michael Doyle,Michael,Doyle,0
Jenniffer González-Colón,Jenniffer,González-Colón,0
David N. Cicilline,David,Cicilline,0
Jim Langevin,Jim,Langevin,0
Nancy Mace,Nancy,Mace,0
Joe Wilson,Joe,Wilson,0
Jeff Duncan,Jeff,Duncan,0
William Timmons,William,Timmons,0
Ralph Norman,Ralph,Norman,0
James Clyburn,James,Clyburn,0
Tom Rice,Tom,Rice,0
Dusty Johnson,Dusty,Johnson,0
Diana Harshbarger,Diana,Harshbarger,0
Tim Burchett,Tim,Burchett,0
