full_name,given_name,surname,full_name_plain,given_name_plain,surname_plain,irish_flag
Ann Wagner,Ann,Wagner,AnnWagner,Ann,Wagner,0
Blaine Luetkemeyer,Blaine,Luetkemeyer,BlaineLuetkemeyer,Blaine,Luetkemeyer,0
Vicky Hartzler,Vicky,Hartzler,VickyHartzler,Vicky,Hartzler,0
Emanuel Cleaver,Emanuel,Cleaver,EmanuelCleaver,Emanuel,Cleaver,0
Sam Graves,Sam,Graves,SamGraves,Sam,Graves,0
Billy Long,Billy,Long,BillyLong,Billy,Long,0
Jason Smith,Jason,Smith,JasonSmith,Jason,Smith,0
Matt Rosendale,Matt,Rosendale,MattRosendale,Matt,Rosendale,0
Jeffrey Fortenberry,Jeffrey,Fortenberry,JeffreyFortenberry,Jeffrey,Fortenberry,0
Don Bacon,Don,Bacon,DonBacon,Don,Bacon,0
Adrian Smith,Adrian,Smith,AdrianSmith,Adrian,Smith,0
Dina Titus,Dina,Titus,DinaTitus,Dina,Titus,0
Mark Amodei,Mark,Amodei,MarkAmodei,Mark,Amodei,0
Susie Lee,Susie,Lee,SusieLee,Susie,Lee,0
Steven Horsford,Steven,Horsford,StevenHorsford,Steven,Horsford,0
Chris Pappas,Chris,Pappas,ChrisPappas,Chris,Pappas,0
Annie Kuster,Annie,Kuster,AnnieKuster,Annie,Kuster,0
Donald Norcross,Donald,Norcross,DonaldNorcross,Donald,Norcross,0
